model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
deepseek_deepseek-chat-v3.1,Complex.js,3,run3,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,3,run3,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,3,run3,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,3,run3,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,3,run3,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,3,run3,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,4,run4,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,4,run4,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,4,run4,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,4,run4,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,4,run4,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,4,run4,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,5,run5,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,5,run5,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,5,run5,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,5,run5,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,5,run5,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,5,run5,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
